CDC27	100.00	100.00	100.00
CKAP5	100.00	100.00	100.00
ERH	100.00	100.00	100.00
FAM86B1	100.00	100.00	100.00
NARS	100.00	100.00	100.00
POLR2A	100.00	100.00	100.00
POLR2B	100.00	100.00	100.00
POLR2F	100.00	100.00	100.00
PRPF38A	100.00	100.00	100.00
PSMB3	100.00	100.00	100.00
PSMC6	100.00	100.00	100.00
RAN	100.00	100.00	100.00
RPA1	100.00	100.00	100.00
RPL11	100.00	100.00	100.00
RPL13	100.00	100.00	100.00
RPL14	100.00	100.00	100.00
RPL15	100.00	100.00	100.00
RPL18A	100.00	100.00	100.00
RPL3	100.00	100.00	100.00
RPS11	100.00	100.00	100.00
RPS15	100.00	100.00	100.00
RPS19	100.00	100.00	100.00
RPS23	100.00	100.00	100.00
RPS5	100.00	100.00	100.00
RPS7	100.00	100.00	100.00
RRM1	100.00	100.00	100.00
SF3B3	100.00	100.00	100.00
SF3B5	100.00	100.00	100.00
SMU1	100.00	100.00	100.00
SNRPA1	100.00	100.00	100.00
SNRPD3	100.00	100.00	100.00
SNRPE	100.00	100.00	100.00
SRSF3	100.00	100.00	100.00
THOC2	100.00	100.00	100.00
UBL5	100.00	100.00	100.00
CDC16	96.88	100.00	100.00
CDC7	96.88	100.00	100.00
CDK1	100.00	100.00	100.00
CHEK1	96.88	100.00	100.00
CSE1L	96.88	100.00	100.00
EFTUD2	100.00	100.00	100.00
EIF4A3	100.00	100.00	100.00
GINS1	100.00	100.00	100.00
HIST1H2BB	100.00	100.00	100.00
HNRNPK	100.00	100.00	100.00
KIF11	100.00	100.00	100.00
LSM5	96.88	100.00	100.00
PLK1	100.00	100.00	100.00
POLR2C	100.00	100.00	100.00
POLR2L	96.88	100.00	100.00
PSMA2	100.00	100.00	100.00
PSMC3	100.00	100.00	100.00
PUF60	100.00	100.00	100.00
RPL10A	100.00	100.00	100.00
RPL12	100.00	100.00	100.00
RPL21	100.00	100.00	100.00
RPL27A	100.00	100.00	92.86
